time_s,MEG 0113
0.000,-0.00000000000000010000000
0.125,-0.00000000000000009999695
0.250,-0.00000000000000009999390
0.375,-0.00000000000000009999084
0.500,-0.00000000000000009998779
0.625,-0.00000000000000009998474
0.750,-0.00000000000000009998169
0.875,-0.00000000000000009997864
1.000,-0.00000000000000009997559
1.125,-0.00000000000000009997253
1.250,-0.00000000000000009996948
1.375,-0.00000000000000009996643
1.500,-0.00000000000000009996338
1.625,-0.00000000000000009996033
1.750,-0.00000000000000009995727
1.875,-0.00000000000000009995422
