column,signal_index,label,unit,sampling_rate_hz,samples_per_record,physical_min,physical_max,digital_min,digital_max,transducer,prefiltering,output_file,converted
ch1,0,ch1,uV,1,1,-100,100,-1000,1000,,,signals_1hz.csv,yes
ch2,1,ch2,uV,2,2,-100,100,-1000,1000,,,signals_2hz.csv,yes
ch3,2,ch3,uV,3,3,-100,100,-1000,1000,,,signals_3hz.csv,yes
ch4,3,ch4,uV,4,4,-100,100,-1000,1000,,,signals_4hz.csv,yes
ch5,4,ch5,uV,5,5,-100,100,-1000,1000,,,signals_5hz.csv,yes
ch6,5,ch6,uV,6,6,-100,100,-1000,1000,,,signals_6hz.csv,yes
ch7,6,ch7,uV,7,7,-100,100,-1000,1000,,,signals_7hz.csv,yes
ch8,7,ch8,uV,8,8,-100,100,-1000,1000,,,signals_8hz.csv,yes
ch9,8,ch9,uV,9,9,-100,100,-1000,1000,,,signals_9hz.csv,yes
ch10,9,ch10,uV,10,10,-100,100,-1000,1000,,,signals_10hz.csv,yes
ch11,10,ch11,uV,11,11,-100,100,-1000,1000,,,signals_11hz.csv,yes
ch12,11,ch12,uV,12,12,-100,100,-1000,1000,,,signals_12hz.csv,yes
ch13,12,ch13,uV,13,13,-100,100,-1000,1000,,,signals_13hz.csv,yes
ch14,13,ch14,uV,14,14,-100,100,-1000,1000,,,signals_14hz.csv,yes
ch15,14,ch15,uV,15,15,-100,100,-1000,1000,,,signals_15hz.csv,yes
ch16,15,ch16,uV,16,16,-100,100,-1000,1000,,,signals_16hz.csv,yes
ch17,16,ch17,uV,17,17,-100,100,-1000,1000,,,signals_17hz.csv,yes
ch18,17,ch18,uV,18,18,-100,100,-1000,1000,,,signals_18hz.csv,yes
ch19,18,ch19,uV,19,19,-100,100,-1000,1000,,,signals_19hz.csv,yes
ch20,19,ch20,uV,20,20,-100,100,-1000,1000,,,signals_20hz.csv,yes
ch21,20,ch21,uV,21,21,-100,100,-1000,1000,,,signals_21hz.csv,yes
ch22,21,ch22,uV,22,22,-100,100,-1000,1000,,,signals_22hz.csv,yes
ch23,22,ch23,uV,23,23,-100,100,-1000,1000,,,signals_23hz.csv,yes
ch24,23,ch24,uV,24,24,-100,100,-1000,1000,,,signals_24hz.csv,yes
ch25,24,ch25,uV,25,25,-100,100,-1000,1000,,,signals_25hz.csv,yes
ch26,25,ch26,uV,26,26,-100,100,-1000,1000,,,signals_26hz.csv,yes
ch27,26,ch27,uV,27,27,-100,100,-1000,1000,,,signals_27hz.csv,yes
ch28,27,ch28,uV,28,28,-100,100,-1000,1000,,,signals_28hz.csv,yes
ch29,28,ch29,uV,29,29,-100,100,-1000,1000,,,signals_29hz.csv,yes
ch30,29,ch30,uV,30,30,-100,100,-1000,1000,,,signals_30hz.csv,yes
ch31,30,ch31,uV,31,31,-100,100,-1000,1000,,,signals_31hz.csv,yes
ch32,31,ch32,uV,32,32,-100,100,-1000,1000,,,signals_32hz.csv,yes
ch33,32,ch33,uV,33,33,-100,100,-1000,1000,,,signals_33hz.csv,yes
ch34,33,ch34,uV,34,34,-100,100,-1000,1000,,,signals_34hz.csv,yes
ch35,34,ch35,uV,35,35,-100,100,-1000,1000,,,signals_35hz.csv,yes
ch36,35,ch36,uV,36,36,-100,100,-1000,1000,,,signals_36hz.csv,yes
ch37,36,ch37,uV,37,37,-100,100,-1000,1000,,,signals_37hz.csv,yes
ch38,37,ch38,uV,38,38,-100,100,-1000,1000,,,signals_38hz.csv,yes
ch39,38,ch39,uV,39,39,-100,100,-1000,1000,,,signals_39hz.csv,yes
ch40,39,ch40,uV,40,40,-100,100,-1000,1000,,,signals_40hz.csv,yes
