time_s,ch38
0.00000,0.000
0.02632,0.100
0.05263,0.200
0.07895,0.300
0.10526,0.400
0.13158,0.500
0.15789,0.600
0.18421,0.700
0.21053,0.800
0.23684,0.900
0.26316,1.000
0.28947,1.100
0.31579,1.200
0.34211,1.300
0.36842,1.400
0.39474,1.500
0.42105,1.600
0.44737,1.700
0.47368,1.800
0.50000,1.900
0.52632,2.000
0.55263,2.100
0.57895,2.200
0.60526,2.300
0.63158,2.400
0.65789,2.500
0.68421,2.600
0.71053,2.700
0.73684,2.800
0.76316,2.900
0.78947,3.000
0.81579,3.100
0.84211,3.200
0.86842,3.300
0.89474,3.400
0.92105,3.500
0.94737,3.600
0.97368,3.700
