time_s,EEG
0.0000000000,-244.139
0.0009765625,-244.017
0.0019531250,-243.895
0.0029296875,-243.773
0.0039062500,-243.651
0.0048828125,-243.529
0.0058593750,-243.407
0.0068359375,-243.284
0.0078125000,-243.162
0.0087890625,-243.040
0.0097656250,-242.918
0.0107421875,-242.796
0.0117187500,-242.674
0.0126953125,-242.552
0.0136718750,-242.430
0.0146484375,-242.308
0.0156250000,-242.186
0.0166015625,-242.063
0.0175781250,-241.941
0.0185546875,-241.819
0.0195312500,-241.697
0.0205078125,-241.575
0.0214843750,-241.453
0.0224609375,-241.331
0.0234375000,-241.209
0.0244140625,-241.087
0.0253906250,-240.965
0.0263671875,-240.842
0.0273437500,-240.720
0.0283203125,-240.598
0.0292968750,-240.476
0.0302734375,-240.354
0.0312500000,-240.232
0.0322265625,-240.110
0.0332031250,-239.988
0.0341796875,-239.866
0.0351562500,-239.744
0.0361328125,-239.621
0.0371093750,-239.499
0.0380859375,-239.377
0.0390625000,-239.255
0.0400390625,-239.133
0.0410156250,-239.011
0.0419921875,-238.889
0.0429687500,-238.767
0.0439453125,-238.645
0.0449218750,-238.523
0.0458984375,-238.400
0.0468750000,-238.278
0.0478515625,-238.156
0.0488281250,-238.034
0.0498046875,-237.912
0.0507812500,-237.790
0.0517578125,-237.668
0.0527343750,-237.546
0.0537109375,-237.424
0.0546875000,-237.302
0.0556640625,-237.179
0.0566406250,-237.057
0.0576171875,-236.935
0.0585937500,-236.813
0.0595703125,-236.691
0.0605468750,-236.569
0.0615234375,-236.447
0.0625000000,-236.325
0.0634765625,-236.203
0.0644531250,-236.081
0.0654296875,-235.958
0.0664062500,-235.836
0.0673828125,-235.714
0.0683593750,-235.592
0.0693359375,-235.470
0.0703125000,-235.348
0.0712890625,-235.226
0.0722656250,-235.104
0.0732421875,-234.982
0.0742187500,-234.860
0.0751953125,-234.737
0.0761718750,-234.615
0.0771484375,-234.493
0.0781250000,-234.371
0.0791015625,-234.249
0.0800781250,-234.127
0.0810546875,-234.005
0.0820312500,-233.883
0.0830078125,-233.761
0.0839843750,-233.639
0.0849609375,-233.516
0.0859375000,-233.394
0.0869140625,-233.272
0.0878906250,-233.150
0.0888671875,-233.028
0.0898437500,-232.906
0.0908203125,-232.784
0.0917968750,-232.662
0.0927734375,-232.540
0.0937500000,-232.418
0.0947265625,-232.295
0.0957031250,-232.173
0.0966796875,-232.051
0.0976562500,-231.929
0.0986328125,-231.807
0.0996093750,-231.685
0.1005859375,-231.563
0.1015625000,-231.441
0.1025390625,-231.319
0.1035156250,-231.197
0.1044921875,-231.074
0.1054687500,-230.952
0.1064453125,-230.830
0.1074218750,-230.708
0.1083984375,-230.586
0.1093750000,-230.464
0.1103515625,-230.342
0.1113281250,-230.220
0.1123046875,-230.098
0.1132812500,-229.976
0.1142578125,-229.853
0.1152343750,-229.731
0.1162109375,-229.609
0.1171875000,-229.487
0.1181640625,-229.365
0.1191406250,-229.243
0.1201171875,-229.121
0.1210937500,-228.999
0.1220703125,-228.877
0.1230468750,-228.755
0.1240234375,-228.632
0.1250000000,-228.510
0.1259765625,-228.388
0.1269531250,-228.266
0.1279296875,-228.144
0.1289062500,-228.022
0.1298828125,-227.900
0.1308593750,-227.778
0.1318359375,-227.656
0.1328125000,-227.534
0.1337890625,-227.411
0.1347656250,-227.289
0.1357421875,-227.167
0.1367187500,-227.045
0.1376953125,-226.923
0.1386718750,-226.801
0.1396484375,-226.679
0.1406250000,-226.557
0.1416015625,-226.435
0.1425781250,-226.313
0.1435546875,-226.190
0.1445312500,-226.068
0.1455078125,-225.946
0.1464843750,-225.824
0.1474609375,-225.702
0.1484375000,-225.580
