time_s,channel,value
0.00000000,EEG Fpz-Cz,0.061
0.00000000,ECG,0.00122
0.00000000,Temp rectal,37.00073
0.00390625,EEG Fpz-Cz,9.096
0.00781250,EEG Fpz-Cz,18.010
0.00781250,ECG,0.12088
0.01171875,EEG Fpz-Cz,26.801
0.01562500,EEG Fpz-Cz,35.470
0.01562500,ECG,0.24054
0.01953125,EEG Fpz-Cz,44.017
0.02343750,EEG Fpz-Cz,52.320
0.02343750,ECG,0.36020
0.02734375,EEG Fpz-Cz,60.256
0.03125000,EEG Fpz-Cz,67.949
0.03125000,ECG,0.47741
0.03515625,EEG Fpz-Cz,75.153
0.03906250,EEG Fpz-Cz,82.112
0.03906250,ECG,0.59463
0.04296875,EEG Fpz-Cz,88.462
0.04687500,EEG Fpz-Cz,94.444
0.04687500,ECG,0.70940
0.05078125,EEG Fpz-Cz,99.939
0.05468750,EEG Fpz-Cz,104.823
0.05468750,ECG,0.82418
0.05859375,EEG Fpz-Cz,109.096
0.06250000,EEG Fpz-Cz,112.882
0.06250000,ECG,0.93651
0.06640625,EEG Fpz-Cz,116.056
0.07031250,EEG Fpz-Cz,118.498
0.07031250,ECG,1.04640
0.07421875,EEG Fpz-Cz,120.330
0.07812500,EEG Fpz-Cz,121.551
0.07812500,ECG,1.15140
0.08203125,EEG Fpz-Cz,122.161
0.08593750,EEG Fpz-Cz,122.039
0.08593750,ECG,1.25641
0.08984375,EEG Fpz-Cz,121.184
0.09375000,EEG Fpz-Cz,119.841
0.09375000,ECG,1.35897
0.09765625,EEG Fpz-Cz,117.766
0.10156250,EEG Fpz-Cz,115.079
0.10156250,ECG,1.45665
0.10546875,EEG Fpz-Cz,111.661
0.10937500,EEG Fpz-Cz,107.753
0.10937500,ECG,1.54945
0.11328125,EEG Fpz-Cz,103.236
0.11718750,EEG Fpz-Cz,98.107
0.11718750,ECG,1.64225
0.12109375,EEG Fpz-Cz,92.491
0.12500000,EEG Fpz-Cz,86.386
0.12500000,ECG,1.72772
0.12890625,EEG Fpz-Cz,79.792
0.13281250,EEG Fpz-Cz,72.833
0.13281250,ECG,1.81074
0.13671875,EEG Fpz-Cz,65.385
0.14062500,EEG Fpz-Cz,57.570
0.14062500,ECG,1.88889
0.14453125,EEG Fpz-Cz,49.512
0.14843750,EEG Fpz-Cz,41.209
0.14843750,ECG,1.96215
0.15234375,EEG Fpz-Cz,32.662
0.15625000,EEG Fpz-Cz,23.871
0.15625000,ECG,2.03053
0.16015625,EEG Fpz-Cz,14.957
0.16406250,EEG Fpz-Cz,6.044
0.16406250,ECG,2.09646
0.16796875,EEG Fpz-Cz,-2.991
0.17187500,EEG Fpz-Cz,-11.905
0.17187500,ECG,2.15507
0.17578125,EEG Fpz-Cz,-20.818
0.17968750,EEG Fpz-Cz,-29.609
0.17968750,ECG,2.20879
0.18359375,EEG Fpz-Cz,-38.278
0.18750000,EEG Fpz-Cz,-46.703
0.18750000,ECG,2.25763
0.19140625,EEG Fpz-Cz,-54.884
0.19531250,EEG Fpz-Cz,-62.698
0.19531250,ECG,2.30159
0.19921875,EEG Fpz-Cz,-70.269
0.20312500,EEG Fpz-Cz,-77.350
0.20312500,ECG,2.33822
0.20703125,EEG Fpz-Cz,-84.188
0.21093750,EEG Fpz-Cz,-90.415
0.21093750,ECG,2.36996
0.21484375,EEG Fpz-Cz,-96.154
0.21875000,EEG Fpz-Cz,-101.404
0.21875000,ECG,2.39683
0.22265625,EEG Fpz-Cz,-106.166
0.22656250,EEG Fpz-Cz,-110.317
0.22656250,ECG,2.41636
0.23046875,EEG Fpz-Cz,-113.858
0.23437500,EEG Fpz-Cz,-116.789
0.23437500,ECG,2.43101
0.23828125,EEG Fpz-Cz,-119.109
0.24218750,EEG Fpz-Cz,-120.696
0.24218750,ECG,2.44078
0.24609375,EEG Fpz-Cz,-121.673
0.25000000,EEG Fpz-Cz,-122.039
0.25000000,ECG,2.44322
0.25390625,EEG Fpz-Cz,-121.673
0.25781250,EEG Fpz-Cz,-120.696
0.25781250,ECG,2.44078
0.26171875,EEG Fpz-Cz,-119.109
0.26562500,EEG Fpz-Cz,-116.789
0.26562500,ECG,2.43101
0.26953125,EEG Fpz-Cz,-113.858
0.27343750,EEG Fpz-Cz,-110.317
0.27343750,ECG,2.41636
0.27734375,EEG Fpz-Cz,-106.166
0.28125000,EEG Fpz-Cz,-101.404
0.28125000,ECG,2.39683
0.28515625,EEG Fpz-Cz,-96.154
0.28906250,EEG Fpz-Cz,-90.415
0.28906250,ECG,2.36996
0.29296875,EEG Fpz-Cz,-84.188
0.29687500,EEG Fpz-Cz,-77.350
0.29687500,ECG,2.33822
0.30078125,EEG Fpz-Cz,-70.269
0.30468750,EEG Fpz-Cz,-62.698
0.30468750,ECG,2.30159
0.30859375,EEG Fpz-Cz,-54.884
0.31250000,EEG Fpz-Cz,-46.703
0.31250000,ECG,2.25763
0.31640625,EEG Fpz-Cz,-38.278
0.32031250,EEG Fpz-Cz,-29.609
0.32031250,ECG,2.20879
0.32421875,EEG Fpz-Cz,-20.818
0.32812500,EEG Fpz-Cz,-11.905
0.32812500,ECG,2.15507
0.33203125,EEG Fpz-Cz,-2.991
0.33593750,EEG Fpz-Cz,6.044
0.33593750,ECG,2.09646
0.33984375,EEG Fpz-Cz,14.957
0.34375000,EEG Fpz-Cz,23.871
0.34375000,ECG,2.03053
0.34765625,EEG Fpz-Cz,32.662
0.35156250,EEG Fpz-Cz,41.209
0.35156250,ECG,1.96215
0.35546875,EEG Fpz-Cz,49.512
0.35937500,EEG Fpz-Cz,57.570
0.35937500,ECG,1.88889
0.36328125,EEG Fpz-Cz,65.385
0.36718750,EEG Fpz-Cz,72.833
0.36718750,ECG,1.81074
0.37109375,EEG Fpz-Cz,79.792
0.37500000,EEG Fpz-Cz,86.386
0.37500000,ECG,1.72772
0.37890625,EEG Fpz-Cz,92.491
0.38281250,EEG Fpz-Cz,98.107
0.38281250,ECG,1.64225
0.38671875,EEG Fpz-Cz,103.236
0.39062500,EEG Fpz-Cz,107.753
0.39062500,ECG,1.54945
0.39453125,EEG Fpz-Cz,111.661
0.39843750,EEG Fpz-Cz,115.079
0.39843750,ECG,1.45665
0.40234375,EEG Fpz-Cz,117.766
0.40625000,EEG Fpz-Cz,119.841
0.40625000,ECG,1.35897
0.41015625,EEG Fpz-Cz,121.184
0.41406250,EEG Fpz-Cz,122.039
0.41406250,ECG,1.25641
0.41796875,EEG Fpz-Cz,122.161
0.42187500,EEG Fpz-Cz,121.551
0.42187500,ECG,1.15140
0.42578125,EEG Fpz-Cz,120.330
0.42968750,EEG Fpz-Cz,118.498
0.42968750,ECG,1.04640
0.43359375,EEG Fpz-Cz,116.056
0.43750000,EEG Fpz-Cz,112.882
0.43750000,ECG,0.93651
0.44140625,EEG Fpz-Cz,109.096
0.44531250,EEG Fpz-Cz,104.823
0.44531250,ECG,0.82418
0.44921875,EEG Fpz-Cz,99.939
0.45312500,EEG Fpz-Cz,94.444
0.45312500,ECG,0.70940
0.45703125,EEG Fpz-Cz,88.462
0.46093750,EEG Fpz-Cz,82.112
0.46093750,ECG,0.59463
0.46484375,EEG Fpz-Cz,75.153
0.46875000,EEG Fpz-Cz,67.949
0.46875000,ECG,0.47741
0.47265625,EEG Fpz-Cz,60.256
0.47656250,EEG Fpz-Cz,52.320
0.47656250,ECG,0.36020
0.48046875,EEG Fpz-Cz,44.017
0.48437500,EEG Fpz-Cz,35.470
0.48437500,ECG,0.24054
0.48828125,EEG Fpz-Cz,26.801
0.49218750,EEG Fpz-Cz,18.010
0.49218750,ECG,0.12088
0.49609375,EEG Fpz-Cz,9.096
0.50000000,EEG Fpz-Cz,0.061
0.50000000,ECG,0.00122
0.50390625,EEG Fpz-Cz,-8.974
0.50781250,EEG Fpz-Cz,-17.888
0.50781250,ECG,-0.11844
0.51171875,EEG Fpz-Cz,-26.679
0.51562500,EEG Fpz-Cz,-35.348
0.51562500,ECG,-0.23810
0.51953125,EEG Fpz-Cz,-43.895
0.52343750,EEG Fpz-Cz,-52.198
0.52343750,ECG,-0.35775
0.52734375,EEG Fpz-Cz,-60.134
0.53125000,EEG Fpz-Cz,-67.827
0.53125000,ECG,-0.47497
0.53515625,EEG Fpz-Cz,-75.031
0.53906250,EEG Fpz-Cz,-81.990
0.53906250,ECG,-0.59219
0.54296875,EEG Fpz-Cz,-88.339
0.54687500,EEG Fpz-Cz,-94.322
0.54687500,ECG,-0.70696
0.55078125,EEG Fpz-Cz,-99.817
0.55468750,EEG Fpz-Cz,-104.701
0.55468750,ECG,-0.82173
