time_s,ECG
1.0000000,0.00122
1.0078125,0.12088
1.0156250,0.24054
1.0234375,0.36020
1.0312500,0.47741
1.0390625,0.59463
1.0468750,0.70940
1.0546875,0.82418
1.0625000,0.93651
1.0703125,1.04640
1.0781250,1.15140
1.0859375,1.25641
1.0937500,1.35897
1.1015625,1.45665
1.1093750,1.54945
1.1171875,1.64225
1.1250000,1.72772
1.1328125,1.81074
1.1406250,1.88889
1.1484375,1.96215
1.1562500,2.03053
1.1640625,2.09646
1.1718750,2.15507
1.1796875,2.20879
1.1875000,2.25763
1.1953125,2.30159
1.2031250,2.33822
1.2109375,2.36996
1.2187500,2.39683
1.2265625,2.41636
1.2343750,2.43101
1.2421875,2.44078
1.2500000,2.44322
1.2578125,2.44078
1.2656250,2.43101
1.2734375,2.41636
1.2812500,2.39683
1.2890625,2.36996
1.2968750,2.33822
1.3046875,2.30159
1.3125000,2.25763
1.3203125,2.20879
1.3281250,2.15507
1.3359375,2.09646
1.3437500,2.03053
1.3515625,1.96215
1.3593750,1.88889
1.3671875,1.81074
1.3750000,1.72772
1.3828125,1.64225
1.3906250,1.54945
1.3984375,1.45665
1.4062500,1.35897
1.4140625,1.25641
1.4218750,1.15140
1.4296875,1.04640
1.4375000,0.93651
1.4453125,0.82418
1.4531250,0.70940
1.4609375,0.59463
1.4687500,0.47741
1.4765625,0.36020
1.4843750,0.24054
1.4921875,0.12088
1.5000000,0.00122
1.5078125,-0.11844
1.5156250,-0.23810
1.5234375,-0.35775
1.5312500,-0.47497
1.5390625,-0.59219
1.5468750,-0.70696
1.5546875,-0.82173
1.5625000,-0.93407
1.5703125,-1.04396
1.5781250,-1.14896
1.5859375,-1.25397
1.5937500,-1.35653
1.6015625,-1.45421
1.6093750,-1.54701
1.6171875,-1.63980
1.6250000,-1.72527
1.6328125,-1.80830
1.6406250,-1.88645
1.6484375,-1.95971
1.6562500,-2.02808
1.6640625,-2.09402
1.6718750,-2.15263
1.6796875,-2.20635
1.6875000,-2.25519
1.6953125,-2.29915
1.7031250,-2.33578
1.7109375,-2.36752
1.7187500,-2.39438
1.7265625,-2.41392
1.7343750,-2.42857
1.7421875,-2.43834
1.7500000,-2.44078
1.7578125,-2.43834
1.7656250,-2.42857
1.7734375,-2.41392
1.7812500,-2.39438
1.7890625,-2.36752
1.7968750,-2.33578
1.8046875,-2.29915
1.8125000,-2.25519
1.8203125,-2.20635
1.8281250,-2.15263
1.8359375,-2.09402
1.8437500,-2.02808
1.8515625,-1.95971
1.8593750,-1.88645
1.8671875,-1.80830
1.8750000,-1.72527
1.8828125,-1.63980
1.8906250,-1.54701
1.8984375,-1.45421
1.9062500,-1.35653
1.9140625,-1.25397
1.9218750,-1.14896
1.9296875,-1.04396
1.9375000,-0.93407
1.9453125,-0.82173
1.9531250,-0.70696
1.9609375,-0.59219
1.9687500,-0.47497
1.9765625,-0.35775
1.9843750,-0.23810
1.9921875,-0.11844
