time_s,EEG Fpz-Cz
1.00000000,0.061
1.00390625,9.096
1.00781250,18.010
1.01171875,26.801
1.01562500,35.470
1.01953125,44.017
1.02343750,52.320
1.02734375,60.256
1.03125000,67.949
1.03515625,75.153
1.03906250,82.112
1.04296875,88.462
1.04687500,94.444
1.05078125,99.939
1.05468750,104.823
1.05859375,109.096
1.06250000,112.882
1.06640625,116.056
1.07031250,118.498
1.07421875,120.330
1.07812500,121.551
1.08203125,122.161
1.08593750,122.039
1.08984375,121.184
1.09375000,119.841
1.09765625,117.766
1.10156250,115.079
1.10546875,111.661
1.10937500,107.753
1.11328125,103.236
1.11718750,98.107
1.12109375,92.491
1.12500000,86.386
1.12890625,79.792
1.13281250,72.833
1.13671875,65.385
1.14062500,57.570
1.14453125,49.512
1.14843750,41.209
1.15234375,32.662
1.15625000,23.871
1.16015625,14.957
1.16406250,6.044
1.16796875,-2.991
1.17187500,-11.905
1.17578125,-20.818
1.17968750,-29.609
1.18359375,-38.278
1.18750000,-46.703
1.19140625,-54.884
1.19531250,-62.698
1.19921875,-70.269
1.20312500,-77.350
1.20703125,-84.188
1.21093750,-90.415
1.21484375,-96.154
1.21875000,-101.404
1.22265625,-106.166
1.22656250,-110.317
1.23046875,-113.858
1.23437500,-116.789
1.23828125,-119.109
1.24218750,-120.696
1.24609375,-121.673
1.25000000,-122.039
1.25390625,-121.673
1.25781250,-120.696
1.26171875,-119.109
1.26562500,-116.789
1.26953125,-113.858
1.27343750,-110.317
1.27734375,-106.166
1.28125000,-101.404
1.28515625,-96.154
1.28906250,-90.415
1.29296875,-84.188
1.29687500,-77.350
1.30078125,-70.269
1.30468750,-62.698
1.30859375,-54.884
1.31250000,-46.703
1.31640625,-38.278
1.32031250,-29.609
1.32421875,-20.818
1.32812500,-11.905
1.33203125,-2.991
1.33593750,6.044
1.33984375,14.957
1.34375000,23.871
1.34765625,32.662
1.35156250,41.209
1.35546875,49.512
1.35937500,57.570
1.36328125,65.385
1.36718750,72.833
1.37109375,79.792
1.37500000,86.386
1.37890625,92.491
1.38281250,98.107
1.38671875,103.236
1.39062500,107.753
1.39453125,111.661
1.39843750,115.079
1.40234375,117.766
1.40625000,119.841
1.41015625,121.184
1.41406250,122.039
1.41796875,122.161
1.42187500,121.551
1.42578125,120.330
1.42968750,118.498
1.43359375,116.056
1.43750000,112.882
1.44140625,109.096
1.44531250,104.823
1.44921875,99.939
1.45312500,94.444
1.45703125,88.462
1.46093750,82.112
1.46484375,75.153
1.46875000,67.949
1.47265625,60.256
1.47656250,52.320
1.48046875,44.017
1.48437500,35.470
1.48828125,26.801
1.49218750,18.010
1.49609375,9.096
1.50000000,0.061
1.50390625,-8.974
1.50781250,-17.888
1.51171875,-26.679
1.51562500,-35.348
1.51953125,-43.895
1.52343750,-52.198
1.52734375,-60.134
1.53125000,-67.827
1.53515625,-75.031
1.53906250,-81.990
1.54296875,-88.339
1.54687500,-94.322
1.55078125,-99.817
1.55468750,-104.701
1.55859375,-108.974
1.56250000,-112.759
1.56640625,-115.934
1.57031250,-118.376
1.57421875,-120.208
1.57812500,-121.429
1.58203125,-122.039
1.58593750,-121.917
1.58984375,-121.062
1.59375000,-119.719
1.59765625,-117.643
1.60156250,-114.957
1.60546875,-111.538
1.60937500,-107.631
1.61328125,-103.114
1.61718750,-97.985
1.62109375,-92.369
1.62500000,-86.264
1.62890625,-79.670
1.63281250,-72.711
1.63671875,-65.263
1.64062500,-57.448
1.64453125,-49.389
1.64843750,-41.087
1.65234375,-32.540
1.65625000,-23.748
1.66015625,-14.835
1.66406250,-5.922
1.66796875,3.114
1.67187500,12.027
1.67578125,20.940
1.67968750,29.731
1.68359375,38.400
1.68750000,46.825
1.69140625,55.006
1.69531250,62.821
1.69921875,70.391
1.70312500,77.473
1.70703125,84.310
1.71093750,90.537
1.71484375,96.276
1.71875000,101.526
1.72265625,106.288
1.72656250,110.440
1.73046875,113.980
1.73437500,116.911
1.73828125,119.231
1.74218750,120.818
1.74609375,121.795
1.75000000,122.161
1.75390625,121.795
1.75781250,120.818
1.76171875,119.231
1.76562500,116.911
1.76953125,113.980
1.77343750,110.440
1.77734375,106.288
1.78125000,101.526
1.78515625,96.276
1.78906250,90.537
1.79296875,84.310
1.79687500,77.473
1.80078125,70.391
1.80468750,62.821
1.80859375,55.006
1.81250000,46.825
1.81640625,38.400
1.82031250,29.731
1.82421875,20.940
1.82812500,12.027
1.83203125,3.114
1.83593750,-5.922
1.83984375,-14.835
1.84375000,-23.748
1.84765625,-32.540
1.85156250,-41.087
1.85546875,-49.389
1.85937500,-57.448
1.86328125,-65.263
1.86718750,-72.711
1.87109375,-79.670
1.87500000,-86.264
1.87890625,-92.369
1.88281250,-97.985
1.88671875,-103.114
1.89062500,-107.631
1.89453125,-111.538
1.89843750,-114.957
1.90234375,-117.643
1.90625000,-119.719
1.91015625,-121.062
1.91406250,-121.917
1.91796875,-122.039
1.92187500,-121.429
1.92578125,-120.208
1.92968750,-118.376
1.93359375,-115.934
1.93750000,-112.759
1.94140625,-108.974
1.94531250,-104.701
1.94921875,-99.817
1.95312500,-94.322
1.95703125,-88.339
1.96093750,-81.990
1.96484375,-75.031
1.96875000,-67.827
1.97265625,-60.134
1.97656250,-52.198
1.98046875,-43.895
1.98437500,-35.348
1.98828125,-26.679
1.99218750,-17.888
1.99609375,-8.974
