time_s,ECG
0.0000000,0.00122
0.0078125,0.12088
0.0156250,0.24054
0.0234375,0.36020
0.0312500,0.47741
0.0390625,0.59463
0.0468750,0.70940
0.0546875,0.82418
0.0625000,0.93651
0.0703125,1.04640
0.0781250,1.15140
0.0859375,1.25641
0.0937500,1.35897
0.1015625,1.45665
0.1093750,1.54945
0.1171875,1.64225
0.1250000,1.72772
0.1328125,1.81074
0.1406250,1.88889
0.1484375,1.96215
0.1562500,2.03053
0.1640625,2.09646
0.1718750,2.15507
0.1796875,2.20879
0.1875000,2.25763
0.1953125,2.30159
0.2031250,2.33822
0.2109375,2.36996
0.2187500,2.39683
0.2265625,2.41636
0.2343750,2.43101
0.2421875,2.44078
0.2500000,2.44322
0.2578125,2.44078
0.2656250,2.43101
0.2734375,2.41636
0.2812500,2.39683
0.2890625,2.36996
0.2968750,2.33822
0.3046875,2.30159
0.3125000,2.25763
0.3203125,2.20879
0.3281250,2.15507
0.3359375,2.09646
0.3437500,2.03053
0.3515625,1.96215
0.3593750,1.88889
0.3671875,1.81074
0.3750000,1.72772
0.3828125,1.64225
0.3906250,1.54945
0.3984375,1.45665
0.4062500,1.35897
0.4140625,1.25641
0.4218750,1.15140
0.4296875,1.04640
0.4375000,0.93651
0.4453125,0.82418
0.4531250,0.70940
0.4609375,0.59463
0.4687500,0.47741
0.4765625,0.36020
0.4843750,0.24054
0.4921875,0.12088
0.5000000,0.00122
0.5078125,-0.11844
0.5156250,-0.23810
0.5234375,-0.35775
0.5312500,-0.47497
0.5390625,-0.59219
0.5468750,-0.70696
0.5546875,-0.82173
0.5625000,-0.93407
0.5703125,-1.04396
0.5781250,-1.14896
0.5859375,-1.25397
0.5937500,-1.35653
0.6015625,-1.45421
0.6093750,-1.54701
0.6171875,-1.63980
0.6250000,-1.72527
0.6328125,-1.80830
0.6406250,-1.88645
0.6484375,-1.95971
0.6562500,-2.02808
0.6640625,-2.09402
0.6718750,-2.15263
0.6796875,-2.20635
0.6875000,-2.25519
0.6953125,-2.29915
0.7031250,-2.33578
0.7109375,-2.36752
0.7187500,-2.39438
0.7265625,-2.41392
0.7343750,-2.42857
0.7421875,-2.43834
0.7500000,-2.44078
0.7578125,-2.43834
0.7656250,-2.42857
0.7734375,-2.41392
0.7812500,-2.39438
0.7890625,-2.36752
0.7968750,-2.33578
0.8046875,-2.29915
0.8125000,-2.25519
0.8203125,-2.20635
0.8281250,-2.15263
0.8359375,-2.09402
0.8437500,-2.02808
0.8515625,-1.95971
0.8593750,-1.88645
0.8671875,-1.80830
0.8750000,-1.72527
0.8828125,-1.63980
0.8906250,-1.54701
0.8984375,-1.45421
0.9062500,-1.35653
0.9140625,-1.25397
0.9218750,-1.14896
0.9296875,-1.04396
0.9375000,-0.93407
0.9453125,-0.82173
0.9531250,-0.70696
0.9609375,-0.59219
0.9687500,-0.47497
0.9765625,-0.35775
0.9843750,-0.23810
0.9921875,-0.11844
1.0000000,0.00122
1.0078125,0.12088
1.0156250,0.24054
1.0234375,0.36020
1.0312500,0.47741
1.0390625,0.59463
1.0468750,0.70940
1.0546875,0.82418
1.0625000,0.93651
1.0703125,1.04640
1.0781250,1.15140
1.0859375,1.25641
1.0937500,1.35897
1.1015625,1.45665
1.1093750,1.54945
1.1171875,1.64225
1.1250000,1.72772
1.1328125,1.81074
1.1406250,1.88889
1.1484375,1.96215
1.1562500,2.03053
1.1640625,2.09646
1.1718750,2.15507
1.1796875,2.20879
1.1875000,2.25763
1.1953125,2.30159
1.2031250,2.33822
1.2109375,2.36996
1.2187500,2.39683
1.2265625,2.41636
1.2343750,2.43101
1.2421875,2.44078
1.2500000,2.44322
1.2578125,2.44078
1.2656250,2.43101
1.2734375,2.41636
1.2812500,2.39683
1.2890625,2.36996
1.2968750,2.33822
1.3046875,2.30159
1.3125000,2.25763
1.3203125,2.20879
1.3281250,2.15507
1.3359375,2.09646
1.3437500,2.03053
1.3515625,1.96215
1.3593750,1.88889
1.3671875,1.81074
1.3750000,1.72772
1.3828125,1.64225
1.3906250,1.54945
1.3984375,1.45665
1.4062500,1.35897
1.4140625,1.25641
1.4218750,1.15140
1.4296875,1.04640
1.4375000,0.93651
1.4453125,0.82418
1.4531250,0.70940
1.4609375,0.59463
1.4687500,0.47741
1.4765625,0.36020
1.4843750,0.24054
1.4921875,0.12088
1.5000000,0.00122
1.5078125,-0.11844
1.5156250,-0.23810
