time_s,EEG Fpz-Cz
0.00000000,0.061
0.00390625,9.096
0.00781250,18.010
0.01171875,26.801
0.01562500,35.470
0.01953125,44.017
0.02343750,52.320
0.02734375,60.256
0.03125000,67.949
0.03515625,75.153
0.03906250,82.112
0.04296875,88.462
0.04687500,94.444
0.05078125,99.939
0.05468750,104.823
0.05859375,109.096
0.06250000,112.882
0.06640625,116.056
0.07031250,118.498
0.07421875,120.330
0.07812500,121.551
0.08203125,122.161
0.08593750,122.039
0.08984375,121.184
0.09375000,119.841
0.09765625,117.766
0.10156250,115.079
0.10546875,111.661
0.10937500,107.753
0.11328125,103.236
0.11718750,98.107
0.12109375,92.491
0.12500000,86.386
0.12890625,79.792
0.13281250,72.833
0.13671875,65.385
0.14062500,57.570
0.14453125,49.512
0.14843750,41.209
0.15234375,32.662
0.15625000,23.871
0.16015625,14.957
0.16406250,6.044
0.16796875,-2.991
0.17187500,-11.905
0.17578125,-20.818
0.17968750,-29.609
0.18359375,-38.278
0.18750000,-46.703
0.19140625,-54.884
0.19531250,-62.698
0.19921875,-70.269
0.20312500,-77.350
0.20703125,-84.188
0.21093750,-90.415
0.21484375,-96.154
0.21875000,-101.404
0.22265625,-106.166
0.22656250,-110.317
0.23046875,-113.858
0.23437500,-116.789
0.23828125,-119.109
0.24218750,-120.696
0.24609375,-121.673
0.25000000,-122.039
0.25390625,-121.673
0.25781250,-120.696
0.26171875,-119.109
0.26562500,-116.789
0.26953125,-113.858
0.27343750,-110.317
0.27734375,-106.166
0.28125000,-101.404
0.28515625,-96.154
0.28906250,-90.415
0.29296875,-84.188
0.29687500,-77.350
0.30078125,-70.269
0.30468750,-62.698
0.30859375,-54.884
0.31250000,-46.703
0.31640625,-38.278
0.32031250,-29.609
0.32421875,-20.818
0.32812500,-11.905
0.33203125,-2.991
0.33593750,6.044
0.33984375,14.957
0.34375000,23.871
0.34765625,32.662
0.35156250,41.209
0.35546875,49.512
0.35937500,57.570
0.36328125,65.385
0.36718750,72.833
0.37109375,79.792
0.37500000,86.386
0.37890625,92.491
0.38281250,98.107
0.38671875,103.236
0.39062500,107.753
0.39453125,111.661
0.39843750,115.079
0.40234375,117.766
0.40625000,119.841
0.41015625,121.184
0.41406250,122.039
0.41796875,122.161
0.42187500,121.551
0.42578125,120.330
0.42968750,118.498
0.43359375,116.056
0.43750000,112.882
0.44140625,109.096
0.44531250,104.823
0.44921875,99.939
0.45312500,94.444
0.45703125,88.462
0.46093750,82.112
0.46484375,75.153
0.46875000,67.949
0.47265625,60.256
0.47656250,52.320
0.48046875,44.017
0.48437500,35.470
0.48828125,26.801
0.49218750,18.010
0.49609375,9.096
0.50000000,0.061
0.50390625,-8.974
0.50781250,-17.888
0.51171875,-26.679
0.51562500,-35.348
0.51953125,-43.895
0.52343750,-52.198
0.52734375,-60.134
0.53125000,-67.827
0.53515625,-75.031
0.53906250,-81.990
0.54296875,-88.339
0.54687500,-94.322
0.55078125,-99.817
0.55468750,-104.701
0.55859375,-108.974
0.56250000,-112.759
0.56640625,-115.934
0.57031250,-118.376
0.57421875,-120.208
0.57812500,-121.429
0.58203125,-122.039
0.58593750,-121.917
0.58984375,-121.062
0.59375000,-119.719
0.59765625,-117.643
0.60156250,-114.957
0.60546875,-111.538
0.60937500,-107.631
0.61328125,-103.114
0.61718750,-97.985
0.62109375,-92.369
0.62500000,-86.264
0.62890625,-79.670
0.63281250,-72.711
0.63671875,-65.263
0.64062500,-57.448
0.64453125,-49.389
0.64843750,-41.087
0.65234375,-32.540
0.65625000,-23.748
0.66015625,-14.835
0.66406250,-5.922
0.66796875,3.114
0.67187500,12.027
0.67578125,20.940
0.67968750,29.731
0.68359375,38.400
0.68750000,46.825
0.69140625,55.006
0.69531250,62.821
0.69921875,70.391
0.70312500,77.473
0.70703125,84.310
0.71093750,90.537
0.71484375,96.276
0.71875000,101.526
0.72265625,106.288
0.72656250,110.440
0.73046875,113.980
0.73437500,116.911
0.73828125,119.231
0.74218750,120.818
0.74609375,121.795
0.75000000,122.161
0.75390625,121.795
0.75781250,120.818
0.76171875,119.231
0.76562500,116.911
0.76953125,113.980
0.77343750,110.440
0.77734375,106.288
0.78125000,101.526
0.78515625,96.276
0.78906250,90.537
0.79296875,84.310
0.79687500,77.473
0.80078125,70.391
0.80468750,62.821
0.80859375,55.006
0.81250000,46.825
0.81640625,38.400
0.82031250,29.731
0.82421875,20.940
0.82812500,12.027
0.83203125,3.114
0.83593750,-5.922
0.83984375,-14.835
0.84375000,-23.748
0.84765625,-32.540
0.85156250,-41.087
0.85546875,-49.389
0.85937500,-57.448
0.86328125,-65.263
0.86718750,-72.711
0.87109375,-79.670
0.87500000,-86.264
0.87890625,-92.369
0.88281250,-97.985
0.88671875,-103.114
0.89062500,-107.631
0.89453125,-111.538
0.89843750,-114.957
0.90234375,-117.643
0.90625000,-119.719
0.91015625,-121.062
0.91406250,-121.917
0.91796875,-122.039
0.92187500,-121.429
0.92578125,-120.208
0.92968750,-118.376
0.93359375,-115.934
0.93750000,-112.759
0.94140625,-108.974
0.94531250,-104.701
0.94921875,-99.817
0.95312500,-94.322
0.95703125,-88.339
0.96093750,-81.990
0.96484375,-75.031
0.96875000,-67.827
0.97265625,-60.134
0.97656250,-52.198
0.98046875,-43.895
0.98437500,-35.348
0.98828125,-26.679
0.99218750,-17.888
0.99609375,-8.974
1.00000000,0.061
1.00390625,9.096
1.00781250,18.010
1.01171875,26.801
1.01562500,35.470
1.01953125,44.017
1.02343750,52.320
1.02734375,60.256
1.03125000,67.949
1.03515625,75.153
1.03906250,82.112
1.04296875,88.462
1.04687500,94.444
1.05078125,99.939
1.05468750,104.823
1.05859375,109.096
1.06250000,112.882
1.06640625,116.056
1.07031250,118.498
1.07421875,120.330
1.07812500,121.551
1.08203125,122.161
1.08593750,122.039
1.08984375,121.184
1.09375000,119.841
1.09765625,117.766
1.10156250,115.079
1.10546875,111.661
1.10937500,107.753
1.11328125,103.236
1.11718750,98.107
1.12109375,92.491
1.12500000,86.386
1.12890625,79.792
1.13281250,72.833
1.13671875,65.385
1.14062500,57.570
1.14453125,49.512
1.14843750,41.209
1.15234375,32.662
1.15625000,23.871
1.16015625,14.957
1.16406250,6.044
1.16796875,-2.991
1.17187500,-11.905
1.17578125,-20.818
1.17968750,-29.609
1.18359375,-38.278
1.18750000,-46.703
1.19140625,-54.884
1.19531250,-62.698
1.19921875,-70.269
1.20312500,-77.350
1.20703125,-84.188
1.21093750,-90.415
1.21484375,-96.154
1.21875000,-101.404
1.22265625,-106.166
1.22656250,-110.317
1.23046875,-113.858
1.23437500,-116.789
1.23828125,-119.109
1.24218750,-120.696
1.24609375,-121.673
1.25000000,-122.039
1.25390625,-121.673
1.25781250,-120.696
1.26171875,-119.109
1.26562500,-116.789
1.26953125,-113.858
1.27343750,-110.317
1.27734375,-106.166
1.28125000,-101.404
1.28515625,-96.154
1.28906250,-90.415
1.29296875,-84.188
1.29687500,-77.350
1.30078125,-70.269
1.30468750,-62.698
1.30859375,-54.884
1.31250000,-46.703
1.31640625,-38.278
1.32031250,-29.609
1.32421875,-20.818
1.32812500,-11.905
1.33203125,-2.991
1.33593750,6.044
1.33984375,14.957
1.34375000,23.871
1.34765625,32.662
1.35156250,41.209
1.35546875,49.512
1.35937500,57.570
1.36328125,65.385
1.36718750,72.833
1.37109375,79.792
1.37500000,86.386
1.37890625,92.491
1.38281250,98.107
1.38671875,103.236
1.39062500,107.753
1.39453125,111.661
1.39843750,115.079
1.40234375,117.766
1.40625000,119.841
1.41015625,121.184
1.41406250,122.039
1.41796875,122.161
1.42187500,121.551
1.42578125,120.330
1.42968750,118.498
1.43359375,116.056
1.43750000,112.882
1.44140625,109.096
1.44531250,104.823
1.44921875,99.939
1.45312500,94.444
1.45703125,88.462
1.46093750,82.112
1.46484375,75.153
1.46875000,67.949
1.47265625,60.256
1.47656250,52.320
1.48046875,44.017
1.48437500,35.470
1.48828125,26.801
1.49218750,18.010
1.49609375,9.096
1.50000000,0.061
1.50390625,-8.974
1.50781250,-17.888
1.51171875,-26.679
1.51562500,-35.348
1.51953125,-43.895
1.52343750,-52.198
1.52734375,-60.134
1.53125000,-67.827
1.53515625,-75.031
1.53906250,-81.990
1.54296875,-88.339
1.54687500,-94.322
1.55078125,-99.817
1.55468750,-104.701
1.55859375,-108.974
1.56250000,-112.759
1.56640625,-115.934
1.57031250,-118.376
1.57421875,-120.208
1.57812500,-121.429
1.58203125,-122.039
1.58593750,-121.917
1.58984375,-121.062
1.59375000,-119.719
1.59765625,-117.643
1.60156250,-114.957
1.60546875,-111.538
1.60937500,-107.631
1.61328125,-103.114
1.61718750,-97.985
1.62109375,-92.369
1.62500000,-86.264
1.62890625,-79.670
1.63281250,-72.711
1.63671875,-65.263
1.64062500,-57.448
1.64453125,-49.389
1.64843750,-41.087
1.65234375,-32.540
1.65625000,-23.748
