time_s,ch1
0.000,0.000
0.004,0.100
0.008,0.200
0.012,0.300
0.016,0.400
0.020,0.500
0.024,0.600
0.028,0.700
0.032,0.800
0.036,0.900
0.040,1.000
0.044,1.100
0.048,1.200
0.052,1.300
0.056,1.400
0.060,1.500
0.064,1.600
0.068,1.700
0.072,1.800
0.076,1.900
0.080,2.000
0.084,2.100
0.088,2.200
0.092,2.300
0.096,2.400
0.100,2.500
0.104,2.600
0.108,2.700
0.112,2.800
0.116,2.900
0.120,3.000
0.124,3.100
0.128,3.200
0.132,3.300
0.136,3.400
0.140,3.500
0.144,3.600
0.148,3.700
0.152,3.800
0.156,3.900
0.160,4.000
0.164,4.100
0.168,4.200
0.172,4.300
0.176,4.400
0.180,4.500
0.184,4.600
0.188,4.700
0.192,4.800
0.196,4.900
0.200,5.000
0.204,5.100
0.208,5.200
0.212,5.300
0.216,5.400
0.220,5.500
0.224,5.600
0.228,5.700
0.232,5.800
0.236,5.900
0.240,6.000
0.244,6.100
0.248,6.200
0.252,6.300
0.256,6.400
0.260,6.500
0.264,6.600
0.268,6.700
0.272,6.800
0.276,6.900
0.280,7.000
0.284,7.100
0.288,7.200
0.292,7.300
0.296,7.400
0.300,7.500
0.304,7.600
0.308,7.700
0.312,7.800
0.316,7.900
0.320,8.000
0.324,8.100
0.328,8.200
0.332,8.300
0.336,8.400
0.340,8.500
0.344,8.600
0.348,8.700
0.352,8.800
0.356,8.900
0.360,9.000
0.364,9.100
0.368,9.200
0.372,9.300
0.376,9.400
0.380,9.500
0.384,9.600
0.388,9.700
0.392,9.800
0.396,9.900
0.400,10.000
0.404,10.100
0.408,10.200
0.412,10.300
0.416,10.400
0.420,10.500
0.424,10.600
0.428,10.700
0.432,10.800
0.436,10.900
0.440,11.000
0.444,11.100
0.448,11.200
0.452,11.300
0.456,11.400
0.460,11.500
0.464,11.600
0.468,11.700
0.472,11.800
0.476,11.900
0.480,12.000
0.484,12.100
0.488,12.200
0.492,12.300
0.496,12.400
0.500,12.500
0.504,12.600
0.508,12.700
0.512,12.800
0.516,12.900
0.520,13.000
0.524,13.100
0.528,13.200
0.532,13.300
0.536,13.400
0.540,13.500
0.544,13.600
0.548,13.700
0.552,13.800
0.556,13.900
0.560,14.000
0.564,14.100
0.568,14.200
0.572,14.300
0.576,14.400
0.580,14.500
0.584,14.600
0.588,14.700
0.592,14.800
0.596,14.900
0.600,15.000
0.604,15.100
0.608,15.200
0.612,15.300
0.616,15.400
0.620,15.500
0.624,15.600
0.628,15.700
0.632,15.800
0.636,15.900
0.640,16.000
0.644,16.100
0.648,16.200
0.652,16.300
0.656,16.400
0.660,16.500
0.664,16.600
0.668,16.700
0.672,16.800
0.676,16.900
0.680,17.000
0.684,17.100
0.688,17.200
0.692,17.300
0.696,17.400
0.700,17.500
0.704,17.600
0.708,17.700
0.712,17.800
0.716,17.900
0.720,18.000
0.724,18.100
0.728,18.200
0.732,18.300
0.736,18.400
0.740,18.500
0.744,18.600
0.748,18.700
0.752,18.800
0.756,18.900
0.760,19.000
0.764,19.100
0.768,19.200
0.772,19.300
0.776,19.400
0.780,19.500
0.784,19.600
0.788,19.700
0.792,19.800
0.796,19.900
0.800,20.000
0.804,20.100
0.808,20.200
0.812,20.300
0.816,20.400
0.820,20.500
0.824,20.600
0.828,20.700
0.832,20.800
0.836,20.900
0.840,21.000
0.844,21.100
0.848,21.200
0.852,21.300
0.856,21.400
0.860,21.500
0.864,21.600
0.868,21.700
0.872,21.800
0.876,21.900
0.880,22.000
0.884,22.100
0.888,22.200
0.892,22.300
0.896,22.400
0.900,22.500
0.904,22.600
0.908,22.700
0.912,22.800
0.916,22.900
0.920,23.000
0.924,23.100
0.928,23.200
0.932,23.300
0.936,23.400
0.940,23.500
0.944,23.600
0.948,23.700
0.952,23.800
0.956,23.900
0.960,24.000
0.964,24.100
0.968,24.200
0.972,24.300
0.976,24.400
0.980,24.500
0.984,24.600
0.988,24.700
0.992,24.800
0.996,24.900
1.000,25.000
1.004,25.100
1.008,25.200
1.012,25.300
1.016,25.400
1.020,25.500
1.024,25.600
1.028,25.700
1.032,25.800
1.036,25.900
1.040,26.000
1.044,26.100
1.048,26.200
1.052,26.300
1.056,26.400
1.060,26.500
1.064,26.600
1.068,26.700
1.072,26.800
1.076,26.900
1.080,27.000
1.084,27.100
1.088,27.200
1.092,27.300
1.096,27.400
1.100,27.500
1.104,27.600
1.108,27.700
1.112,27.800
1.116,27.900
1.120,28.000
1.124,28.100
1.128,28.200
1.132,28.300
1.136,28.400
1.140,28.500
1.144,28.600
1.148,28.700
1.152,28.800
1.156,28.900
1.160,29.000
1.164,29.100
1.168,29.200
1.172,29.300
1.176,29.400
1.180,29.500
1.184,29.600
1.188,29.700
1.192,29.800
1.196,29.900
1.200,30.000
1.204,30.100
1.208,30.200
1.212,30.300
1.216,30.400
1.220,30.500
1.224,30.600
1.228,30.700
1.232,30.800
1.236,30.900
1.240,31.000
1.244,31.100
1.248,31.200
1.252,31.300
1.256,31.400
1.260,31.500
1.264,31.600
1.268,31.700
1.272,31.800
1.276,31.900
1.280,32.000
1.284,32.100
1.288,32.200
1.292,32.300
1.296,32.400
1.300,32.500
1.304,32.600
1.308,32.700
1.312,32.800
1.316,32.900
1.320,33.000
1.324,33.100
1.328,33.200
1.332,33.300
1.336,33.400
1.340,33.500
1.344,33.600
1.348,33.700
1.352,33.800
1.356,33.900
1.360,34.000
1.364,34.100
1.368,34.200
1.372,34.300
1.376,34.400
1.380,34.500
1.384,34.600
1.388,34.700
1.392,34.800
1.396,34.900
1.400,35.000
1.404,35.100
1.408,35.200
1.412,35.300
1.416,35.400
1.420,35.500
1.424,35.600
1.428,35.700
1.432,35.800
1.436,35.900
1.440,36.000
1.444,36.100
1.448,36.200
1.452,36.300
1.456,36.400
1.460,36.500
1.464,36.600
1.468,36.700
1.472,36.800
1.476,36.900
1.480,37.000
1.484,37.100
1.488,37.200
1.492,37.300
1.496,37.400
1.500,37.500
1.504,37.600
1.508,37.700
1.512,37.800
1.516,37.900
1.520,38.000
1.524,38.100
1.528,38.200
1.532,38.300
1.536,38.400
1.540,38.500
1.544,38.600
1.548,38.700
1.552,38.800
1.556,38.900
1.560,39.000
1.564,39.100
1.568,39.200
1.572,39.300
1.576,39.400
1.580,39.500
1.584,39.600
1.588,39.700
1.592,39.800
1.596,39.900
1.600,40.000
1.604,40.100
1.608,40.200
1.612,40.300
1.616,40.400
1.620,40.500
1.624,40.600
1.628,40.700
1.632,40.800
1.636,40.900
1.640,41.000
1.644,41.100
1.648,41.200
1.652,41.300
1.656,41.400
1.660,41.500
1.664,41.600
1.668,41.700
1.672,41.800
1.676,41.900
1.680,42.000
1.684,42.100
1.688,42.200
1.692,42.300
1.696,42.400
1.700,42.500
1.704,42.600
1.708,42.700
1.712,42.800
1.716,42.900
1.720,43.000
1.724,43.100
1.728,43.200
1.732,43.300
1.736,43.400
1.740,43.500
1.744,43.600
1.748,43.700
1.752,43.800
1.756,43.900
1.760,44.000
1.764,44.100
1.768,44.200
1.772,44.300
1.776,44.400
1.780,44.500
1.784,44.600
1.788,44.700
1.792,44.800
1.796,44.900
1.800,45.000
1.804,45.100
1.808,45.200
1.812,45.300
1.816,45.400
1.820,45.500
1.824,45.600
1.828,45.700
1.832,45.800
1.836,45.900
1.840,46.000
1.844,46.100
1.848,46.200
1.852,46.300
1.856,46.400
1.860,46.500
1.864,46.600
1.868,46.700
1.872,46.800
1.876,46.900
1.880,47.000
1.884,47.100
1.888,47.200
1.892,47.300
1.896,47.400
1.900,47.500
1.904,47.600
1.908,47.700
1.912,47.800
1.916,47.900
1.920,48.000
1.924,48.100
1.928,48.200
1.932,48.300
1.936,48.400
1.940,48.500
1.944,48.600
1.948,48.700
1.952,48.800
1.956,48.900
1.960,49.000
1.964,49.100
1.968,49.200
1.972,49.300
1.976,49.400
1.980,49.500
1.984,49.600
1.988,49.700
1.992,49.800
1.996,49.900
